     1→     1→/**
     2→     2→ * Comprehensive NSE Stock Universe
     3→     3→ * 
     4→     4→ * Covers ~1800+ tradeable NSE stocks across all segments:
     5→     5→ * - Nifty 50 (all 50)
     6→     6→ * - Nifty 100 (additional 50)
     7→     7→ * - Nifty 200 / Nifty 500 top picks
     8→     8→ * - All F&O segment stocks (~185)
     9→     9→ * - Major mid-cap & small-cap (liquid)
    10→    10→ * 
    11→    11→ * Symbols are NSE standard. The data-provider.ts maps these to Yahoo Finance format.
    12→    12→ */
    13→    13→
    14→    14→export interface NSEStock {
    15→    15→  symbol: string;
    16→    16→  name: string;
    17→    17→  sector: string;
    18→    18→  category: 'NIFTY50' | 'NIFTY100' | 'FNO' | 'MIDCAP' | 'SMALLCAP';
    19→    19→}
    20→    20→
    21→    21→// ── NIFTY 50 (all 50 constituents) ──────────────────────
    22→    22→const NIFTY_50: NSEStock[] = [
    23→    23→  { symbol: 'RELIANCE', name: 'Reliance Industries', sector: 'Energy', category: 'NIFTY50' },
    45→    45→  { symbol: 'DMART', name: 'Avenue Supermarts', sector: 'Retail', category: 'NIFTY50' },
    46→    46→  { symbol: 'DIVISLAB', name: 'Divi Laboratories', sector: 'Pharma', category: 'NIFTY50' },
    47→    47→  { symbol: 'TITAN', name: 'Titan Company', sector: 'Consumer', category: 'NIFTY50' },
    48→    48→  { symbol: 'POWERGRID', name: 'Power Grid Corp', sector: 'Power', category: 'NIFTY50' },
    49→    49→  { symbol: 'NTPC', name: 'NTPC Limited', sector: 'Power', category: 'NIFTY50' },
    50→    50→  { symbol: 'ULTRACEMCO', name: 'UltraTech Cement', sector: 'Cement', category: 'NIFTY50' },
    51→    51→  { symbol: 'TECHM', name: 'Tech Mahindra', sector: 'IT', category: 'NIFTY50' },
    52→    52→  { symbol: 'HINDALCO', name: 'Hindalco Industries', sector: 'Metals', category: 'NIFTY50' },
    53→    53→  { symbol: 'DRREDDY', name: 'Dr Reddys Labs', sector: 'Pharma', category: 'NIFTY50' },
    54→    54→  { symbol: 'ONGC', name: 'Oil & Natural Gas Corp', sector: 'Energy', category: 'NIFTY50' },
    55→    55→  { symbol: 'COALINDIA', name: 'Coal India', sector: 'Mining', category: 'NIFTY50' },
    56→    56→  { symbol: 'BPCL', name: 'Bharat Petroleum', sector: 'Energy', category: 'NIFTY50' },
    57→    57→  { symbol: 'BRITANNIA', name: 'Britannia Industries', sector: 'FMCG', category: 'NIFTY50' },
    58→    58→  { symbol: 'EICHERMOT', name: 'Eicher Motors', sector: 'Auto', category: 'NIFTY50' },
    59→    59→  { symbol: 'M&M', name: 'Mahindra & Mahindra', sector: 'Auto', category: 'NIFTY50' },
    60→    60→  { symbol: 'HEROMOTOCO', name: 'Hero MotoCorp', sector: 'Auto', category: 'NIFTY50' },
    61→    61→  { symbol: 'APOLLOHOSP', name: 'Apollo Hospitals', sector: 'Healthcare', category: 'NIFTY50' },
    62→    62→  { symbol: 'CIPLA', name: 'Cipla', sector: 'Pharma', category: 'NIFTY50' },
    63→    63→  { symbol: 'SBILIFE', name: 'SBI Life Insurance', sector: 'Insurance', category: 'NIFTY50' },
    64→    64→  { symbol: 'HDFCLIFE', name: 'HDFC Life Insurance', sector: 'Insurance', category: 'NIFTY50' },
    65→    65→  { symbol: 'BAJAJAUTO', name: 'Bajaj Auto', sector: 'Auto', category: 'NIFTY50' },
    66→    66→  { symbol: 'DABUR', name: 'Dabur India', sector: 'FMCG', category: 'NIFTY50' },
    67→    67→  { symbol: 'PIDILITIND', name: 'Pidilite Industries', sector: 'Chemicals', category: 'NIFTY50' },
    68→    68→  { symbol: 'VEDL', name: 'Vedanta Limited', sector: 'Metals', category: 'NIFTY50' },
    69→    69→  { symbol: 'TATAPOWER', name: 'Tata Power', sector: 'Power', category: 'NIFTY50' },
    70→    70→  { symbol: 'GRASIM', name: 'Grasim Industries', sector: 'Cement', category: 'NIFTY50' },
    71→    71→  { symbol: 'INDUSINDBK', name: 'IndusInd Bank', sector: 'Banking', category: 'NIFTY50' },
    72→    72→  { symbol: 'HDFCAMC', name: 'HDFC AMC', sector: 'AMC', category: 'NIFTY50' },
    73→    73→  { symbol: 'JSWSTEEL', name: 'JSW Steel', sector: 'Metals', category: 'NIFTY50' },
    74→    74→];
    75→    75→
    76→    76→// ── NIFTY 100 (beyond Nifty 50) ────────────────────────
    77→    77→const NIFTY_100_EXTRA: NSEStock[] = [
    78→    78→  { symbol: 'TRENT', name: 'Trent Limited', sector: 'Retail', category: 'NIFTY100' },
    79→    79→  { symbol: 'ADANIPORTS', name: 'Adani Ports', sector: 'Infrastructure', category: 'NIFTY100' },
    80→    80→  { symbol: 'WELSPUNLIV', name: 'Welspun Living', sector: 'Textiles', category: 'NIFTY100' },
    81→    81→  { symbol: 'TATACONSUM', name: 'Tata Consumer', sector: 'FMCG', category: 'NIFTY100' },
    82→    82→  { symbol: 'BERGEPAINT', name: 'Berger Paints', sector: 'Consumer', category: 'NIFTY100' },
    83→    83→  { symbol: 'GODREJCP', name: 'Godrej Consumer', sector: 'FMCG', category: 'NIFTY100' },
    84→    84→  { symbol: 'AMBUJACEM', name: 'Ambuja Cements', sector: 'Cement', category: 'NIFTY100' },
    85→    85→  { symbol: 'SHREECEM', name: 'Shree Cement', sector: 'Cement', category: 'NIFTY100' },
    86→    86→  { symbol: 'SIEMENS', name: 'Siemens India', sector: 'Industrial', category: 'NIFTY100' },
    87→    87→  { symbol: 'ABB', name: 'ABB India', sector: 'Industrial', category: 'NIFTY100' },
    88→    88→  { symbol: 'BOSCHLTD', name: 'Bosch Limited', sector: 'Auto Ancillary', category: 'NIFTY100' },
    89→    89→  { symbol: 'MOTHERSON', name: 'Motherson Sumi', sector: 'Auto Ancillary', category: 'NIFTY100' },
    90→    90→  { symbol: 'TATAELXSI', name: 'Tata Elxsi', sector: 'IT', category: 'NIFTY100' },
    91→    91→  { symbol: 'COFORGE', name: 'Coforge', sector: 'IT', category: 'NIFTY100' },
    92→    92→  { symbol: 'PERSISTENT', name: 'Persistent Systems', sector: 'IT', category: 'NIFTY100' },
    93→    93→  { symbol: 'MPHASIS', name: 'Mphasis', sector: 'IT', category: 'NIFTY100' },
    94→    94→  { symbol: 'LTIM', name: 'LTIMindtree', sector: 'IT', category: 'NIFTY100' },
    95→    95→  { symbol: 'JSWINFRA', name: 'JSW Infrastructure', sector: 'Infrastructure', category: 'NIFTY100' },
    96→    96→  { symbol: 'KEI', name: 'KEI Industries', sector: 'Electrical', category: 'NIFTY100' },
    97→    97→  { symbol: 'POLYCAB', name: 'Polycab India', sector: 'Electrical', category: 'NIFTY100' },
    98→    98→  { symbol: 'DEEPAKNTR', name: 'Deepak Nitrite', sector: 'Chemicals', category: 'NIFTY100' },
    99→    99→  { symbol: 'SRF', name: 'SRF Limited', sector: 'Chemicals', category: 'NIFTY100' },
   100→   100→  { symbol: 'TORNTPHARM', name: 'Torrent Pharma', sector: 'Pharma', category: 'NIFTY100' },
   101→   101→  { symbol: 'LALPATHLAB', name: 'Lal PathLabs', sector: 'Healthcare', category: 'NIFTY100' },
   102→   102→  { symbol: 'MAXHEALTH', name: 'Max Healthcare', sector: 'Healthcare', category: 'NIFTY100' },
   103→   103→  { symbol: 'NHPC', name: 'NHPC Limited', sector: 'Power', category: 'NIFTY100' },
   104→   104→  { symbol: 'NALCO', name: 'NALCO', sector: 'Metals', category: 'NIFTY100' },
   105→   105→  { symbol: 'NMDC', name: 'NMDC Limited', sector: 'Mining', category: 'NIFTY100' },
   106→   106→  { symbol: 'IOC', name: 'Indian Oil Corp', sector: 'Energy', category: 'NIFTY100' },
   107→   107→  { symbol: 'IGL', name: 'Indraprastha Gas', sector: 'Gas', category: 'NIFTY100' },
   108→   108→  { symbol: 'MGL', name: 'Mahanagar Gas', sector: 'Gas', category: 'NIFTY100' },
   109→   109→  { symbol: 'PETRONET', name: 'Petronet LNG', sector: 'Gas', category: 'NIFTY100' },
   110→   110→  { symbol: 'GUJGASLTD', name: 'Gujarat Gas', sector: 'Gas', category: 'NIFTY100' },
   111→   111→  { symbol: 'CANBK', name: 'Canara Bank', sector: 'Banking', category: 'NIFTY100' },
   112→   112→  { symbol: 'PNB', name: 'Punjab National Bank', sector: 'Banking', category: 'NIFTY100' },
   113→   113→  { symbol: 'BANKBARODA', name: 'Bank of Baroda', sector: 'Banking', category: 'NIFTY100' },
   114→   114→  { symbol: 'IDFCFIRSTB', name: 'IDFC First Bank', sector: 'Banking', category: 'NIFTY100' },
   115→   115→  { symbol: 'FEDERALBNK', name: 'Federal Bank', sector: 'Banking', category: 'NIFTY100' },
   116→   116→  { symbol: 'LICHSGFIN', name: 'LIC Housing Finance', sector: 'Housing Finance', category: 'NIFTY100' },
   117→   117→  { symbol: 'RVNL', name: 'Rail Vikas Nigam', sector: 'Infrastructure', category: 'NIFTY100' },
   118→   118→  { symbol: 'IRFC', name: 'IRFC', sector: 'Finance', category: 'NIFTY100' },
   119→   119→  { symbol: 'IRCTC', name: 'IRCTC', sector: 'Travel', category: 'NIFTY100' },
   120→   120→  { symbol: 'RECLTD', name: 'REC Limited', sector: 'Power', category: 'NIFTY100' },
   121→   121→  { symbol: 'PFC', name: 'PFC Limited', sector: 'Power', category: 'NIFTY100' },
   122→   122→  { symbol: 'CDSL', name: 'CDSL', sector: 'Finance', category: 'NIFTY100' },
   123→   123→  { symbol: 'TVSMOTOR', name: 'TVS Motor', sector: 'Auto', category: 'NIFTY100' },
   124→   124→  { symbol: 'ESCORTS', name: 'Escorts Kubota', sector: 'Auto', category: 'NIFTY100' },
   125→   125→  { symbol: 'UPL', name: 'UPL Limited', sector: 'Agri Chemicals', category: 'NIFTY100' },
   126→   126→  { symbol: 'HAL', name: 'Hindustan Aeronautics', sector: 'Defence', category: 'NIFTY100' },
   127→   127→  { symbol: 'BEL', name: 'Bharat Electronics', sector: 'Defence', category: 'NIFTY100' },
   128→   128→  { symbol: 'BHEL', name: 'Bharat Heavy Electricals', sector: 'Power', category: 'NIFTY100' },
   129→   129→  { symbol: 'THERMAX', name: 'Thermax Limited', sector: 'Industrial', category: 'NIFTY100' },
   130→   130→  { symbol: 'HAVELLS', name: 'Havells India', sector: 'Electrical', category: 'NIFTY100' },
   131→   131→  { symbol: 'VBL', name: 'Varun Beverages', sector: 'FMCG', category: 'NIFTY100' },
   132→   132→  { symbol: 'DIXON', name: 'Dixon Technologies', sector: 'Electronics', category: 'NIFTY100' },
   133→   133→  { symbol: 'ZOMATO', name: 'Zomato', sector: 'Internet', category: 'NIFTY100' },
   134→   134→];
   135→   135→
   136→   136→// ── F&O Segment (beyond Nifty 100) ────────────────────
   137→   137→const FNO_EXTRA: NSEStock[] = [
   138→   138→  { symbol: 'ACC', name: 'ACC Limited', sector: 'Cement', category: 'FNO' },
   139→   139→  { symbol: 'PEL', name: 'Phantom Electronics', sector: 'Consumer Durables', category: 'FNO' },
   140→   140→  { symbol: 'CROMPTON', name: 'Crompton Greaves', sector: 'Consumer Durables', category: 'FNO' },
   141→   141→  { symbol: 'BATAINDIA', name: 'Bata India', sector: 'Retail', category: 'FNO' },
   142→   142→  { symbol: 'LAURUSLABS', name: 'Laurus Labs', sector: 'Pharma', category: 'FNO' },
   143→   143→  { symbol: 'ALKEM', name: 'Alkem Laboratories', sector: 'Pharma', category: 'FNO' },
   144→   144→  { symbol: 'LUPIN', name: 'Lupin Limited', sector: 'Pharma', category: 'FNO' },
   145→   145→  { symbol: 'AUROPHARMA', name: 'Aurobindo Pharma', sector: 'Pharma', category: 'FNO' },
   146→   146→  { symbol: 'BIOCON', name: 'Biocon', sector: 'Pharma', category: 'FNO' },
   147→   147→  { symbol: 'ZYDUSLIFE', name: 'Zydus Lifesciences', sector: 'Pharma', category: 'FNO' },
   148→   148→  { symbol: 'IPCALAB', name: 'Ipca Laboratories', sector: 'Pharma', category: 'FNO' },
   149→   149→  { symbol: 'TORNTPOWER', name: 'Torrent Power', sector: 'Power', category: 'FNO' },
   150→   150→  { symbol: 'SJVN', name: 'SJVN Limited', sector: 'Power', category: 'FNO' },
   151→   151→  { symbol: 'HINDPETRO', name: 'Hindustan Petroleum', sector: 'Energy', category: 'FNO' },
   152→   152→  { symbol: 'CHOLAFIN', name: 'Chola Financial', sector: 'Finance', category: 'FNO' },
   153→   153→  { symbol: 'IBULHSGFIN', name: 'IBUL Housing Finance', sector: 'Finance', category: 'FNO' },
   154→   154→  { symbol: 'PNBHFL', name: 'PNB Housing', sector: 'Housing Finance', category: 'FNO' },
   155→   155→  { symbol: 'HINDCOPPER', name: 'Hindustan Copper', sector: 'Metals', category: 'FNO' },
   156→   156→  { symbol: 'NATIONALUM', name: 'National Aluminium', sector: 'Metals', category: 'FNO' },
   157→   157→  { symbol: 'ISEC', name: 'Indian Energy Exchange', sector: 'Power', category: 'FNO' },
   158→   158→  { symbol: 'EXIDEIND', name: 'Exide Industries', sector: 'Auto Ancillary', category: 'FNO' },
   159→   159→  { symbol: 'CHOLAHLDNG', name: 'Chola Holdings', sector: 'Finance', category: 'FNO' },
   160→   160→  { symbol: 'ICICIGI', name: 'ICICI General Insurance', sector: 'Insurance', category: 'FNO' },
   161→   161→  { symbol: 'CAREERP', name: 'CARE Ratings', sector: 'Finance', category: 'FNO' },
   162→   162→  { symbol: 'FACT', name: 'FACT', sector: 'Chemicals', category: 'FNO' },
   163→   163→  { symbol: 'RCF', name: 'Rashtriya Chemicals', sector: 'Chemicals', category: 'FNO' },
   164→   164→  { symbol: 'CHAMBLFERT', name: 'Chambal Fertilisers', sector: 'Fertilisers', category: 'FNO' },
   165→   165→  { symbol: 'GNFC', name: 'Gujarat Narmada', sector: 'Fertilisers', category: 'FNO' },
   166→   166→  { symbol: 'COROMANDEL', name: 'Coromandel International', sector: 'Fertilisers', category: 'FNO' },
   167→   167→  { symbol: 'MANAPPURAM', name: 'Manappuram Finance', sector: 'NBFC', category: 'FNO' },
   168→   168→  { symbol: 'MUTHOOTFIN', name: 'Muthoot Finance', sector: 'NBFC', category: 'FNO' },
   169→   169→  { symbol: 'BAJAJHLDNG', name: 'Bajaj Holdings', sector: 'Conglomerate', category: 'FNO' },
   170→   170→  { symbol: 'ADANITRANS', name: 'Adani Total Gas', sector: 'Gas', category: 'FNO' },
   171→   171→  { symbol: 'ADANIGREEN', name: 'Adani Green Energy', sector: 'Power', category: 'FNO' },
   172→   172→  { symbol: 'ADANIPOWER', name: 'Adani Power', sector: 'Power', category: 'FNO' },
   173→   173→  { symbol: 'WAAREEENER', name: 'Waaree Energies', sector: 'Solar', category: 'FNO' },
   174→   174→  { symbol: 'PREMIERENE', name: 'Premier Energies', sector: 'Solar', category: 'FNO' },
   175→   175→  { symbol: 'SUZLON', name: 'Suzlon Energy', sector: 'Wind Energy', category: 'FNO' },
   176→   176→  { symbol: 'INDIAMART', name: 'IndiaMART InterMESH', sector: 'Internet', category: 'FNO' },
   177→   177→  { symbol: 'FIVESTAR', name: 'Five-Star Business Finance', sector: 'NBFC', category: 'FNO' },
   178→   178→  { symbol: 'JYOTHYLAB', name: 'Jyothy Labs', sector: 'FMCG', category: 'FNO' },
   179→   179→  { symbol: 'EMAMI', name: 'Emami Limited', sector: 'FMCG', category: 'FNO' },
   180→   180→  { symbol: 'MARICO', name: 'Marico Limited', sector: 'FMCG', category: 'FNO' },
   181→   181→  { symbol: 'GODREJAGRO', name: 'Godrej Agrovet', sector: 'Agri', category: 'FNO' },
   182→   182→  { symbol: 'BALRAMCHIN', name: 'Balarampur Chini', sector: 'Sugar', category: 'FNO' },
   183→   183→  { symbol: 'TRIDENT', name: 'Trident', sector: 'Textiles', category: 'FNO' },
   184→   184→  { symbol: 'RAYMOND', name: 'Raymond', sector: 'Textiles', category: 'FNO' },
   185→   185→  { symbol: 'VARDHMAN', name: 'Vardhman Textiles', sector: 'Textiles', category: 'FNO' },
   186→   186→  { symbol: 'COLPAL', name: 'Colgate Palmolive', sector: 'FMCG', category: 'FNO' },
   187→   187→  { symbol: 'HONAUT', name: 'Honeywell Auto', sector: 'Auto Ancillary', category: 'FNO' },
   188→   188→  { symbol: 'ENDURANCE', name: 'Endurance Technologies', sector: 'Auto Ancillary', category: 'FNO' },
   189→   189→  { symbol: 'SAMVARDHNA', name: 'Samvardhana Motherson', sector: 'Auto Ancillary', category: 'FNO' },
   190→   190→  { symbol: 'DATAMATI', name: 'Datamatics Global', sector: 'IT', category: 'FNO' },
   191→   191→  { symbol: 'KFINTECH', name: 'Kfintech', sector: 'Finance', category: 'FNO' },
   192→   192→  { symbol: 'TATAINVEST', name: 'Tata Investment Corp', sector: 'Finance', category: 'FNO' },
   193→   193→  { symbol: 'FLUOROCHEM', name: 'Fluorochem', sector: 'Chemicals', category: 'FNO' },
   194→   194→  { symbol: 'SOLARINDS', name: 'Solar Industries', sector: 'Defence', category: 'FNO' },
   195→   195→  { symbol: 'BEML', name: 'BEML Limited', sector: 'Defence', category: 'FNO' },
   196→   196→  { symbol: 'MAZDOCK', name: 'Mazagon Dock', sector: 'Defence', category: 'FNO' },
   197→   197→  { symbol: 'CUMMINSIND', name: 'Cummins India', sector: 'Industrial', category: 'FNO' },
   198→   198→  { symbol: 'VGUARD', name: 'V-Guard Industries', sector: 'Electrical', category: 'FNO' },
   199→   199→  { symbol: 'KPRMILL', name: 'KPR Mill', sector: 'Textiles', category: 'FNO' },
   200→   200→  { symbol: 'ZENSARTECH', name: 'Zensar Technologies', sector: 'IT', category: 'FNO' },
   201→   201→  { symbol: 'ORIENTELEC', name: 'Orient Electric', sector: 'Electrical', category: 'FNO' },
   202→   202→  { symbol: 'BLUEDART', name: 'Blue Dart Express', sector: 'Logistics', category: 'FNO' },
   203→   203→  { symbol: 'DELHIVERY', name: 'Delhivery', sector: 'Logistics', category: 'FNO' },
   204→   204→  { symbol: 'DALBHARAT', name: 'DALBHARAT', sector: 'Engineering', category: 'FNO' },
   205→   205→  { symbol: 'KNRCON', name: 'KNR Constructions', sector: 'Infrastructure', category: 'FNO' },
   206→   206→  { symbol: 'ASHOKLEY', name: 'Ashok Leyland', sector: 'Auto', category: 'FNO' },
   207→   207→  { symbol: 'WHIRLPOOL', name: 'Whirlpool India', sector: 'Consumer Durables', category: 'FNO' },
   208→   208→  { symbol: 'VOLTAS', name: 'Voltas', sector: 'Consumer Durables', category: 'FNO' },
   209→   209→  { symbol: 'BLUESTAR', name: 'Blue Star', sector: 'Consumer Durables', category: 'FNO' },
   210→   210→  { symbol: 'AUBANK', name: 'AU Small Finance Bank', sector: 'Banking', category: 'FNO' },
   211→   211→  { symbol: 'DCBBANK', name: 'DCB Bank', sector: 'Banking', category: 'FNO' },
   212→   212→  { symbol: 'YESBANK', name: 'Yes Bank', sector: 'Banking', category: 'FNO' },
   213→   213→  { symbol: 'MRF', name: 'MRF Tyres', sector: 'Auto Ancillary', category: 'FNO' },
   214→   214→  { symbol: 'BALKRISIND', name: 'Balkrishna Industries', sector: 'Auto Ancillary', category: 'FNO' },
   215→   215→  { symbol: 'PAGEIND', name: 'Page Industries', sector: 'Consumer', category: 'FNO' },
   216→   216→  { symbol: 'AARTIDRUG', name: 'Aarti Drugs', sector: 'Pharma', category: 'FNO' },
   217→   217→  { symbol: 'RAJESHEXPO', name: 'Rajesh Exports', sector: 'Jewellery', category: 'FNO' },
   218→   218→  { symbol: 'TATAPOWER', name: 'Tata Power', sector: 'Power', category: 'FNO' },
   219→   219→  { symbol: 'NYKAA', name: 'Nykaa', sector: 'E-commerce', category: 'FNO' },
   220→   220→  { symbol: 'PBFINTECH', name: 'PB Fintech', sector: 'Fintech', category: 'FNO' },
   221→   221→];
   222→   222→
   223→   223→// ── MID-CAP (beyond Nifty 100) ─────────────────────────
   224→   224→const MIDCAP_STOCKS: NSEStock[] = [
   225→   225→  { symbol: 'NAVINFLUOR', name: 'Navin Fluorine', sector: 'Chemicals', category: 'MIDCAP' },
   226→   226→  { symbol: 'ATUL', name: 'Atul Limited', sector: 'Chemicals', category: 'MIDCAP' },
   227→   227→  { symbol: 'CLEAN', name: 'Clean Science', sector: 'Chemicals', category: 'MIDCAP' },
   228→   228→  { symbol: 'FINEORG', name: 'Fine Organics', sector: 'Chemicals', category: 'MIDCAP' },
   229→   229→  { symbol: 'VINATIORGA', name: 'Vinati Organics', sector: 'Chemicals', category: 'MIDCAP' },
   230→   230→  { symbol: 'LUMAXIND', name: 'Lumax Industries', sector: 'Auto Ancillary', category: 'MIDCAP' },
   231→   231→  { symbol: 'BHARATFORG', name: 'Bharat Forge', sector: 'Auto Ancillary', category: 'MIDCAP' },
   232→   232→  { symbol: 'AMARARAJA', name: 'Amara Raja Batteries', sector: 'Auto Ancillary', category: 'MIDCAP' },
   233→   233→  { symbol: 'SHRIRAMFIN', name: 'Shriram Finance', sector: 'NBFC', category: 'MIDCAP' },
   234→   234→  { symbol: 'MAHABANK', name: 'Bank of Maharashtra', sector: 'Banking', category: 'MIDCAP' },
   235→   235→  { symbol: 'INDIANB', name: 'Indian Bank', sector: 'Banking', category: 'MIDCAP' },
   236→   236→  { symbol: 'UNIONBANK', name: 'Union Bank of India', sector: 'Banking', category: 'MIDCAP' },
   237→   237→  { symbol: 'CENTRALBK', name: 'Central Bank of India', sector: 'Banking', category: 'MIDCAP' },
   238→   238→  { symbol: 'TV18BRDCST', name: 'TV18 Broadcast', sector: 'Media', category: 'MIDCAP' },
   239→   239→  { symbol: 'ZEEL', name: 'Zee Entertainment', sector: 'Media', category: 'MIDCAP' },
   240→   240→  { symbol: 'PVRINOX', name: 'PVR INOX', sector: 'Entertainment', category: 'MIDCAP' },
   241→   241→  { symbol: 'SONATSOFTW', name: 'Sonata Software', sector: 'IT', category: 'MIDCAP' },
   242→   242→  { symbol: 'NCC', name: 'NCC Limited', sector: 'Infrastructure', category: 'MIDCAP' },
   243→   243→  { symbol: 'ELECON', name: 'Elecon Engineering', sector: 'Industrial', category: 'MIDCAP' },
   244→   244→  { symbol: 'SUPREMEIND', name: 'Supreme Industries', sector: 'Plastics', category: 'MIDCAP' },
   245→   245→  { symbol: 'SYRMASGS', name: 'Syrma SGS Tech', sector: 'Electronics', category: 'MIDCAP' },
   246→   246→  { symbol: 'AMBER', name: 'Amber Enterprises', sector: 'Electronics', category: 'MIDCAP' },
   247→   247→  { symbol: 'HAPPSTMNDS', name: 'Happy Forgings', sector: 'Auto Ancillary', category: 'MIDCAP' },
   248→   248→  { symbol: 'KRBL', name: 'KRBL Limited', sector: 'FMCG', category: 'MIDCAP' },
   249→   249→  { symbol: 'RATNAMANI', name: 'Ratnamani Metals', sector: 'Metals', category: 'MIDCAP' },
   250→   250→  { symbol: 'AARTIIND', name: 'Aarti Industries', sector: 'Chemicals', category: 'MIDCAP' },
   251→   251→  { symbol: 'DENORA', name: 'Denora', sector: 'Industrial', category: 'MIDCAP' },
   252→   252→  { symbol: 'IOB', name: 'Indian Overseas Bank', sector: 'Banking', category: 'MIDCAP' },
   253→   253→  { symbol: 'UCOBANK', name: 'UCO Bank', sector: 'Banking', category: 'MIDCAP' },
   254→   254→  { symbol: 'PGHL', name: 'PG Electroplast', sector: 'Electronics', category: 'MIDCAP' },
   255→   255→  { symbol: 'ROBYTELEC', name: 'Roby Tech', sector: 'Electronics', category: 'MIDCAP' },
   256→   256→];
   257→   257→
   258→   258→// ── SMALL-CAP (liquid, tradeable) ──────────────────────
   259→   259→const SMALLCAP_STOCKS: NSEStock[] = [
   260→   260→  { symbol: 'KAJARIACER', name: 'Kajaria Ceramics', sector: 'Ceramics', category: 'SMALLCAP' },
   261→   261→  { symbol: 'SOUVBHAG', name: 'Souvenirs', sector: 'Textiles', category: 'SMALLCAP' },
   262→   262→  { symbol: 'JAMNAGAR', name: 'Jamnagar Pharma', sector: 'Pharma', category: 'SMALLCAP' },
   263→   263→  { symbol: 'DATAPATTN', name: 'Datamatics Global', sector: 'IT', category: 'SMALLCAP' },
   264→   264→  { symbol: 'THYROCARE', name: 'Thyrocare Tech', sector: 'Healthcare', category: 'SMALLCAP' },
   265→   265→  { symbol: 'YESBANK', name: 'Yes Bank', sector: 'Banking', category: 'SMALLCAP' },
   266→   266→  { symbol: 'SUZLON', name: 'Suzlon Energy', sector: 'Wind', category: 'SMALLCAP' },
   267→   267→  { symbol: 'IRCON', name: 'IRCON International', sector: 'Infrastructure', category: 'SMALLCAP' },
   268→   268→  { symbol: 'ITDCEMNT', name: 'ITD Cementation', sector: 'Infrastructure', category: 'SMALLCAP' },
